[2022-03-25 09:47:48.388] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sessionIdGenerator' of type [org.apache.shiro.session.mgt.eis.JavaUuidSessionIdGenerator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.390] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'redisSessionDAO' of type [org.crazycake.shiro.RedisSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.398] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sessionManager' of type [com.tenero.blog.shiro.MySessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.400] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'cacheManager' of type [org.crazycake.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.410] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:48.493] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:47:49.286] [main] INFO  [PropertySourcedRequestMappingHandlerMapping] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
[2022-03-25 09:47:50.311] [main] INFO  [HikariDataSource] - HikariPool-1 - Starting...
[2022-03-25 09:47:50.664] [main] INFO  [HikariDataSource] - HikariPool-1 - Start completed.
[2022-03-25 09:47:50.755] [main] INFO  [DocumentationPluginsBootstrapper] - Context refreshed
[2022-03-25 09:47:50.900] [main] INFO  [DocumentationPluginsBootstrapper] - Found 1 custom documentation plugin(s)
[2022-03-25 09:47:50.921] [main] INFO  [ApiListingReferenceScanner] - Scanning for api listing references
[2022-03-25 09:47:51.037] [main] INFO  [BlogAppApplicationTests] - Started BlogAppApplicationTests in 4.345 seconds (JVM running for 5.226)
[2022-03-25 09:47:51.198] [main] INFO  [BlogAppApplicationTests] - 测试上传GitHub
[2022-03-25 09:47:51.199] [main] INFO  [BlogAppApplicationTests] - UUID {} d5cef7b3b9f74ecaa2ea8db07b8a8901
[2022-03-25 09:47:51.226] [SpringApplicationShutdownHook] INFO  [HikariDataSource] - HikariPool-1 - Shutdown initiated...
[2022-03-25 09:47:51.348] [SpringApplicationShutdownHook] INFO  [HikariDataSource] - HikariPool-1 - Shutdown completed.
[2022-03-25 09:59:24.723] [main] INFO  [SpringBootTestContextBootstrapper] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tenero.blog.BlogAppApplicationTests], using SpringBootContextLoader
[2022-03-25 09:59:24.729] [main] INFO  [AbstractContextLoader] - Could not detect default resource locations for test class [com.tenero.blog.BlogAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2022-03-25 09:59:24.901] [main] INFO  [SpringBootTestContextBootstrapper] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[2022-03-25 09:59:24.918] [main] INFO  [SpringBootTestContextBootstrapper] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1991f767, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@768ccdc5, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4c6daf0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@10650953, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@659eef7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@162be91c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2488b073, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c9f0a20, org.springframework.test.context.event.EventPublishingTestExecutionListener@55787112, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1cd201a8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7db82169, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1992eaf4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@f74e835, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3276732, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3f28bd56]
[2022-03-25 09:59:25.317] [main] INFO  [BlogAppApplicationTests] - Starting BlogAppApplicationTests using Java 1.8.0_45 on zkfy-0022 with PID 13232 (started by zkfy in F:\code\blog\blog-app)
[2022-03-25 09:59:25.318] [main] INFO  [BlogAppApplicationTests] - No active profile set, falling back to default profiles: default
[2022-03-25 09:59:26.214] [main] INFO  [RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-03-25 09:59:26.217] [main] INFO  [RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-03-25 09:59:26.243] [main] INFO  [RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
[2022-03-25 09:59:26.510] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'shiroConfig' of type [com.tenero.blog.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$1217e757] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.721] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.732] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$4215257c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.735] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.748] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.770] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'dataSource' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.909] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.916] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.917] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.918] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserMapper' of type [com.sun.proxy.$Proxy85] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.918] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogUserServiceImpl' of type [com.tenero.blog.service.impl.BlogUserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.922] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogRoleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.922] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogRoleMapper' of type [com.sun.proxy.$Proxy86] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.922] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'blogRoleServiceImpl' of type [com.tenero.blog.service.impl.BlogRoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.922] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'doGetAuthorizationInfoimpl' of type [com.tenero.blog.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.928] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sessionIdGenerator' of type [com.tenero.blog.shiro.CustomizeSessionIdGenerator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.931] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'redisSessionDAO' of type [org.crazycake.shiro.RedisSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
